53705,70305,50735,50
53713,70313,50743,50
53721,70321,50751,50
53729,70329,50759,50
53737,70337,50767,50
53745,70345,50775,50
53753,70353,50783,50
53761,70361,50791,50
53769,70369,50799,50
53777,70377,50807,50
53785,70385,50815,50
53793,70393,50823,50
53801,70401,50831,50
53809,70409,50839,50
53817,70417,50847,50
53825,70425,50855,50
53833,70433,50863,50
53841,70441,50871,50
53849,70449,50879,50
53857,70457,50887,50
53865,70465,50895,50
53873,70473,50903,50
53881,70481,50911,50
53889,70489,50919,50
53897,70497,50927,50
53905,70505,50935,50
53913,70513,50943,50
53921,70521,50951,50
53929,70529,50959,50
53937,70537,50967,50
53945,70545,50975,50
53953,70553,50983,50
