53705,70305,50735,50
53713,70313,50743,50
53721,70321,50751,50
53729,70329,50759,50
53737,70337,50767,50
53745,70345,50775,50
53753,70353,50783,50
53761,70361,50791,50
53769,70369,50799,50
53777,70377,50807,50
53785,70385,50815,50
53793,70393,50823,50
53801,70401,50831,50
53809,70409,50839,50
53817,70417,50847,50
53825,70425,50855,50
53833,70433,50863,50
53841,70441,50871,50
53849,70449,50879,50
53857,70457,50887,50
53865,70465,50895,50
53873,70473,50903,50
53881,70481,50911,50
53889,70489,50919,50
53897,70497,50927,50
53905,70505,50935,50
53913,70513,50943,50
53921,70521,50951,50
53929,70529,50959,50
53937,70537,50967,50
53945,70545,50975,50
53953,70553,50983,50
53705,70305,50735,100
53713,70313,50743,100
53721,70321,50751,100
53729,70329,50759,100
53737,70337,50767,100
53745,70345,50775,100
53753,70353,50783,100
53761,70361,50791,100
53769,70369,50799,100
53777,70377,50807,100
53785,70385,50815,100
53793,70393,50823,100
53801,70401,50831,100
53809,70409,50839,100
53817,70417,50847,100
53825,70425,50855,100
53833,70433,50863,100
53841,70441,50871,100
53849,70449,50879,100
53857,70457,50887,100
53865,70465,50895,100
53873,70473,50903,100
53881,70481,50911,100
53889,70489,50919,100
53897,70497,50927,100
53905,70505,50935,100
53913,70513,50943,100
53921,70521,50951,100
53929,70529,50959,100
53937,70537,50967,100
53945,70545,50975,100
53953,70553,50983,100
53705,70305,50735,150
53713,70313,50743,150
53721,70321,50751,150
53729,70329,50759,150
53737,70337,50767,150
53745,70345,50775,150
53753,70353,50783,150
53761,70361,50791,150
53769,70369,50799,150
53777,70377,50807,150
53785,70385,50815,150
53793,70393,50823,150
53801,70401,50831,150
53809,70409,50839,150
53817,70417,50847,150
53825,70425,50855,150
53833,70433,50863,150
53841,70441,50871,150
53849,70449,50879,150
53857,70457,50887,150
53865,70465,50895,150
53873,70473,50903,150
53881,70481,50911,150
53889,70489,50919,150
53897,70497,50927,150
53905,70505,50935,150
53913,70513,50943,150
53921,70521,50951,150
53929,70529,50959,150
53937,70537,50967,150
53945,70545,50975,150
53953,70553,50983,150
53705,70305,50735,200
53713,70313,50743,200
53721,70321,50751,200
53729,70329,50759,200
53737,70337,50767,200
53745,70345,50775,200
53753,70353,50783,200
53761,70361,50791,200
53769,70369,50799,200
53777,70377,50807,200
53785,70385,50815,200
53793,70393,50823,200
53801,70401,50831,200
53809,70409,50839,200
53817,70417,50847,200
53825,70425,50855,200
53833,70433,50863,200
53841,70441,50871,200
53849,70449,50879,200
53857,70457,50887,200
53865,70465,50895,200
53873,70473,50903,200
53881,70481,50911,200
53889,70489,50919,200
53897,70497,50927,200
53905,70505,50935,200
53913,70513,50943,200
53921,70521,50951,200
53929,70529,50959,200
53937,70537,50967,200
53945,70545,50975,200
53953,70553,50983,200
53705,70305,50735,250
53713,70313,50743,250
53721,70321,50751,250
53729,70329,50759,250
53737,70337,50767,250
53745,70345,50775,250
53753,70353,50783,250
53761,70361,50791,250
53769,70369,50799,250
53777,70377,50807,250
53785,70385,50815,250
