53857,70457,50735,50
53857,70457,50743,50
53857,70457,50751,50
53857,70457,50759,50
53857,70457,50767,50
53857,70457,50775,50
53857,70457,50783,50
53857,70457,50791,50
53857,70457,50799,50
53857,70457,50807,50
53857,70457,50815,50
53857,70457,50823,50
53857,70457,50831,50
53857,70457,50839,50
53857,70457,50847,50
53857,70457,50855,50
53857,70457,50863,50
53857,70457,50871,50
53857,70457,50879,50
53857,70457,50887,50
53857,70457,50895,50
53857,70457,50903,50
53857,70457,50911,50
53857,70457,50919,50
53857,70457,50927,50
53857,70457,50935,50
53857,70457,50943,50
53857,70457,50951,50
53857,70457,50959,50
53857,70457,50967,50
53857,70457,50975,50
53857,70457,50983,50
